index	label	name	hemisphere	lobe	cortex_type	region_id	r	g	b	x_cog	y_cog	z_cog	volume_mm3
1	V1_L	Primary_Visual_Cortex_L	L	Occ	Primary_Visual	1.0	216	117	0	100.491589	41.138901	71.63704	6717.0
2	V2_L	Second_Visual_Area_L	L	Occ	Early_Visual	4.0	50	224	0	102.236656	44.064791	74.401125	6220.0
3	V3_L	Third_Visual_Area_L	L	Occ	Early_Visual	5.0	58	133	0	107.926111	40.632159	76.961153	4994.0
4	V4_L	Fourth_Visual_Area_L	L	Occ	Early_Visual	6.0	44	241	0	120.481621	41.344329	69.955702	3183.0
5	IPS1_L	IntraParietal_Sulcus_Area_1_L	L	Par	Dorsal_Stream_Visual	17.0	59	163	0	114.19184	51.537326	110.430556	1152.0
6	V3A_L	Area_V3A_L	L	Occ	Dorsal_Stream_Visual	13.0	112	245	0	104.528505	33.597072	99.335131	1298.0
7	V3B_L	Area_V3B_L	L	Occ	Dorsal_Stream_Visual	19.0	80	62	0	117.755656	42.828054	88.434389	442.0
8	V6_L	Sixth_Visual_Area_L	L	Occ	Dorsal_Stream_Visual	3.0	236	173	0	104.543112	44.481665	103.916749	1009.0
9	V6A_L	Area_V6A_L	L	Occ	Dorsal_Stream_Visual	152.0	110	74	0	112.534483	39.66092	114.188218	696.0
10	V7_L	Seventh_Visual_Area_L	L	Occ	Dorsal_Stream_Visual	16.0	48	172	0	114.850993	39.443709	100.271523	604.0
11	FFC_L	Fusiform_Face_Complex_L	L	Temp	Ventral_Stream_Visual	18.0	231	178	0	133.940136	69.78536	52.618797	3224.0
12	PIT_L	Posterior_InferoTemporal_complex_L	L	Occ	Ventral_Stream_Visual	22.0	250	18	0	137.394161	48.92805	61.153285	959.0
13	V8_L	Eighth_Visual_Area_L	L	Occ	Ventral_Stream_Visual	7.0	112	65	0	123.013193	51.8927	56.759015	1137.0
14	VMV1_L	VentroMedial_Visual_Area_1_L	L	Occ	Ventral_Stream_Visual	153.0	29	58	0	110.244105	74.319001	64.307906	721.0
15	VMV2_L	VentroMedial_Visual_Area_2_L	L	Occ	Ventral_Stream_Visual	160.0	66	171	0	119.360502	74.39185	66.366771	319.0
16	VMV3_L	VentroMedial_Visual_Area_3_L	L	Occ	Ventral_Stream_Visual	154.0	105	216	0	119.618762	64.508982	61.017964	501.0
17	VVC_L	Ventral_Visual_Complex_L	L	Temp	Ventral_Stream_Visual	163.0	152	88	0	121.913003	74.920407	53.816752	2161.0
18	FST_L	Area_FST_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	157.0	67	200	0	137.648765	57.787325	76.535983	931.0
19	LO1_L	Area_Lateral_Occipital_1_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	20.0	154	173	0	132.592541	39.361878	78.374309	724.0
20	LO2_L	Area_Lateral_Occipital_2_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	21.0	182	2	0	137.691983	45.555907	68.914557	948.0
21	LO3_L	Area_Lateral_Occipital_3_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	159.0	57	154	0	136.842415	48.964654	85.864507	679.0
22	MST_L	Medial_Superior_Temporal_Area_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	2.0	30	99	0	132.416667	58.901786	82.059524	336.0
23	MT_L	Middle_Temporal_Area_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	23.0	76	234	0	133.489855	55.521739	82.907246	345.0
24	PH_L	Area_PH_L	L	Temp	MT+_Complex_and_Neighboring_Visual_Areas	138.0	82	1	0	139.578644	61.953921	65.579087	2257.0
25	V3CD_L	Area_V3CD_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	158.0	109	118	0	125.152542	36.195686	81.429892	649.0
26	V4t_L	Area_V4t_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	156.0	130	109	0	138.695811	48.185792	74.724954	549.0
27	1_L	Area_1_L	L	Par	Somatosensory_and_Motor	51.0	22	118	0	138.150337	99.962157	127.34085	3858.0
28	2_L	Area_2_L	L	Par	Somatosensory_and_Motor	52.0	67	197	0	129.508165	92.68818	123.900078	2572.0
29	3a_L	Area_3a_L	L	Fr	Somatosensory_and_Motor	53.0	205	83	0	125.373109	105.0	114.733613	1190.0
30	3b_L	Primary_Sensory_Cortex_L	L	Par	Somatosensory_and_Motor	9.0	8	201	0	129.664059	103.257279	123.682747	2301.0
31	4_L	Primary_Motor_Cortex_L	L	Fr	Somatosensory_and_Motor	8.0	237	121	0	119.338359	105.485002	126.65561	6301.0
32	23c_L	Area_23c_L	L	Par	Paracentral_Lobular_and_Mid_Cingulate	38.0	187	10	0	102.515493	96.142723	113.688263	1065.0
33	24dd_L	Dorsal_Area_24d_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	40.0	125	45	0	96.658505	110.468299	121.557499	2287.0
34	24dv_L	Ventral_Area_24d_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	41.0	148	185	0	100.068306	126.534153	115.301913	732.0
35	5L_L	Area_5L_L	L	Par	Paracentral_Lobular_and_Mid_Cingulate	39.0	61	121	0	105.121097	76.89642	144.418888	1313.0
36	5m_L	Area_5m_L	L	Par	Paracentral_Lobular_and_Mid_Cingulate	36.0	118	39	0	96.894004	83.917559	134.828694	934.0
37	5mv_L	Area_5m_ventral_L	L	Par	Paracentral_Lobular_and_Mid_Cingulate	37.0	246	87	0	104.643979	88.134031	121.951832	955.0
38	6ma_L	Area_6m_anterior_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	44.0	140	155	0	110.592627	130.136617	139.421933	3228.0
39	6mp_L	Area_6mp_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	55.0	133	49	0	100.026417	110.678674	141.063401	2082.0
40	SCEF_L	Supplementary_and_Cingulate_Eye_Field_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	43.0	60	189	0	96.643496	131.532274	128.125124	3021.0
41	55b_L	Area_55b_L	L	Fr	Premotor	12.0	125	62	0	138.865752	124.683174	122.399165	1676.0
42	6a_L	Area_6_anterior_L	L	Fr	Premotor	96.0	160	234	0	115.421955	121.769876	126.648432	2742.0
43	6d_L	Dorsal_area_6_L	L	Fr	Premotor	54.0	174	69	0	124.128205	111.937022	138.11426	2223.0
44	6r_L	Rostral_Area_6_L	L	Fr	Premotor	78.0	101	196	0	143.753559	132.158363	88.451957	2248.0
45	6v_L	Ventral_Area_6_L	L	Fr	Premotor	56.0	94	49	0	149.799006	129.681108	103.925426	1408.0
46	FEF_L	Frontal_Eye_Fields_L	L	Fr	Premotor	10.0	252	74	0	132.579336	118.837638	121.922509	813.0
47	PEF_L	Premotor_Eye_Field_L	L	Fr	Premotor	11.0	10	24	0	136.772664	125.582985	112.956764	717.0
48	43_L	Area_43_L	L	Fr	Posterior_Opercular	99.0	226	147	0	147.447146	125.598309	80.808668	946.0
49	FOP1_L	Frontal_Opercular_Area_1_L	L	Fr	Posterior_Opercular	113.0	233	175	0	140.305709	128.198895	75.653775	543.0
50	OP1_L	Area_OP1-SII_L	L	Par	Posterior_Opercular	101.0	204	140	0	138.126662	103.983905	90.311407	1429.0
51	OP2-3_L	Area_OP2-3-VS_L	L	Par	Posterior_Opercular	102.0	26	109	0	131.5	109.658263	89.165266	714.0
52	OP4_L	Area_OP4-PV_L	L	Par	Posterior_Opercular	100.0	67	165	0	151.038095	113.658333	86.099405	1680.0
53	52_L	Area_52_L	L	Temp	Early_Auditory	103.0	86	166	0	130.277162	105.017738	70.645233	451.0
54	A1_L	Primary_Auditory_Cortex_L	L	Temp	Early_Auditory	24.0	174	174	0	135.998896	101.994481	82.398455	906.0
55	LBelt_L	Lateral_Belt_Complex_L	L	Temp	Early_Auditory	174.0	35	163	0	136.829565	99.368696	79.617391	575.0
56	MBelt_L	Medial_Belt_Complex_L	L	Temp	Early_Auditory	173.0	184	242	0	136.939267	110.757068	73.956021	955.0
57	PBelt_L	ParaBelt_Complex_L	L	Temp	Early_Auditory	124.0	28	54	0	144.62098	100.147014	79.898162	1306.0
58	PFcm_L	Area_PFcm_L	L	Par	Early_Auditory	105.0	167	181	0	141.793228	93.845101	92.239193	1388.0
59	RI_L	RetroInsular_Cortex_L	L	Par	Early_Auditory	104.0	127	61	0	130.666225	90.109934	91.313907	755.0
60	A4_L	Auditory_4_Complex_L	L	Temp	Auditory_Association	175.0	199	31	0	155.165477	104.292219	78.188243	2943.0
61	A5_L	Auditory_5_Complex_L	L	Temp	Auditory_Association	125.0	183	155	0	152.259123	112.858549	68.432144	2439.0
62	STGa_L	Area_STGa_L	L	Temp	Auditory_Association	123.0	231	115	0	139.957301	140.979968	50.18292	1897.0
63	STSda_L	Area_STSd_anterior_L	L	Temp	Auditory_Association	128.0	228	117	0	143.831461	123.554073	57.391854	1424.0
64	STSdp_L	Area_STSd_posterior_L	L	Temp	Auditory_Association	129.0	86	169	0	143.062832	94.156637	72.083186	1130.0
