index	label	name	hemisphere	structure	x_cog	y_cog	z_cog
1	aHIP-rh	aHIP-rh	R	aHIP	26.0	-14.0	-20.0
2	pHIP-rh	pHIP-rh	R	pHIP	28.0	-32.0	-8.0
3	lAMY-rh	lAMY-rh	R	lAMY	28.0	-2.0	-22.0
4	mAMY-rh	mAMY-rh	R	mAMY	22.0	-6.0	-16.0
5	THA-DP-rh	THA-DP-rh	R	THA-DP	16.0	-30.0	2.0
6	THA-VP-rh	THA-VP-rh	R	THA-VP	14.0	-22.0	2.0
7	THA-VA-rh	THA-VA-rh	R	THA-VA	8.0	-10.0	6.0
8	THA-DA-rh	THA-DA-rh	R	THA-DA	12.0	-22.0	12.0
9	NAc-shell-rh	NAc-shell-rh	R	NAc-shell	12.0	10.0	-6.0
10	NAc-core-rh	NAc-core-rh	R	NAc-core	14.0	18.0	-2.0
11	pGP-rh	pGP-rh	R	pGP	24.0	-8.0	-2.0
12	aGP-rh	aGP-rh	R	aGP	18.0	0.0	-2.0
13	aPUT-rh	aPUT-rh	R	aPUT	24.0	8.0	-2.0
14	pPUT-rh	pPUT-rh	R	pPUT	30.0	-6.0	4.0
15	aCAU-rh	aCAU-rh	R	aCAU	14.0	14.0	6.0
16	pCAU-rh	pCAU-rh	R	pCAU	14.0	4.0	16.0
17	aHIP-lh	aHIP-lh	L	aHIP	-24.0	-14.0	-20.0
18	pHIP-lh	pHIP-lh	L	pHIP	-26.0	-32.0	-8.0
19	lAMY-lh	lAMY-lh	L	lAMY	-26.0	-2.0	-22.0
20	mAMY-lh	mAMY-lh	L	mAMY	-20.0	-6.0	-16.0
21	THA-DP-lh	THA-DP-lh	L	THA-DP	-14.0	-30.0	2.0
22	THA-VP-lh	THA-VP-lh	L	THA-VP	-12.0	-22.0	2.0
23	THA-VA-lh	THA-VA-lh	L	THA-VA	-6.0	-10.0	6.0
24	THA-DA-lh	THA-DA-lh	L	THA-DA	-10.0	-22.0	12.0
25	NAc-shell-lh	NAc-shell-lh	L	NAc-shell	-10.0	10.0	-6.0
26	NAc-core-lh	NAc-core-lh	L	NAc-core	-12.0	18.0	-2.0
27	pGP-lh	pGP-lh	L	pGP	-22.0	-8.0	-2.0
28	aGP-lh	aGP-lh	L	aGP	-16.0	0.0	-2.0
29	aPUT-lh	aPUT-lh	L	aPUT	-22.0	8.0	-2.0
30	pPUT-lh	pPUT-lh	L	pPUT	-28.0	-6.0	4.0
31	aCAU-lh	aCAU-lh	L	aCAU	-12.0	14.0	6.0
32	pCAU-lh	pCAU-lh	L	pCAU	-12.0	4.0	16.0
